chunk_id,chunk_text,bertopic_topic_id,bertopic_topic_label,bertopic_topic_probability,sentence_start,sentence_end,sentence_count,char_count,word_count,is_empty_text,is_duplicate_text
1,"His Excellency Mr. Antoni Guterres, Secretary General of the United Nations; Her Excellency Madam Annalena Baerbock, President of the United Nations General Assembly; His Excellency Mr. Movses Abelian, Under-Secretary-General for General Assembly and Management; Excellencies, Head of States, Head of Governments, Distinguished Delegates; Ladies and Gentlemen. It is indeed a great honor to stand in this august General Assembly Hall, among leaders and representatives who represent almost all of humanity. We differ in race, religion, and nationality, yet we gather together today as one human family.",0,"Topik Semantik 0: they, general, let",0.34931416707423446,1,3,3,602,86,False,False
2,"We are here first and foremost as fellow human beings - each created equal, endowed with unalienable rights to life, liberty, and the pursuit of happiness. The words of the United Nations Declaration of Independence have inspired democratic movements across continents - including the French Revolution, the Russian Revolution, the Mexican Revolution, the Chinese Revolution, and Indonesia’s own struggle and journey to freedom. It also gave birth to the Universal Declaration of Human Rights adopted by United Nations in 1948.",1,Peran Indonesia dalam Diplomasi Internasional,1.0,4,6,3,527,80,False,False
3,"“All men are created equal” was the creed that opened the way to unprecedented global prosperity and dignity. And yet, in our own era of scientific and technological triumphs - an era capable of ending hunger, poverty, and environmental ruin - we also continue to face today grave dangerous challenges and uncertainties. Human folly, fueled by fear, racism, hatred, oppression, and apartheid, threatens our common future.",1,Peran Indonesia dalam Diplomasi Internasional,1.0,7,9,3,421,66,False,False
4,"My country knows this pain. For centuries, Indonesians lived under colonial domination, oppression, and slavery. We were treated less than dogs in our own homeland.",1,Peran Indonesia dalam Diplomasi Internasional,0.3846780425320889,10,12,3,164,25,False,False
5,"We Indonesians know what it means to be denied justice and what it means to live in apartheid, to live in poverty, and to be denied equal opportunity. We also knew what solidarity can do. In our struggle for independence, in our fight to overcome hunger, disease, and poverty, the United Nations stood with Indonesia and gave us vital assistance.",1,Peran Indonesia dalam Diplomasi Internasional,0.3924682197020595,13,15,3,346,60,False,False
6,"Decisions made here based on human solidarity - by the Security Council and this Assembly - gave Indonesia independence international legitimacy, opened doors, and supported our early development through the efforts of UN Children’s Fund (UNICEF), the UN Food and Agriculture Organization (FAO), the World Health Organization (WHO) and many many other UN institutions. And because of that, Indonesia today stands on the cusp of shared prosperity and greater equality and dignity. Madam President, excellencies, Our world is driven by conflict, injustice, and deepening uncertainty.",1,Peran Indonesia dalam Diplomasi Internasional,0.6029741288168732,16,18,3,581,85,False,False
7,"Everyday we witness suffering, genocide, and a blatant disregard for international law and human decency. In the face of these challenges, we must not give up. As the United Nations Secretary General said, we cannot give up.",0,"Topik Semantik 0: they, general, let",0.3965649919564381,19,21,3,224,37,False,False
8,"We cannot surrender our hopes or our ideals. We must draw closer, not drift further apart. Together we must strive to achieve our hopes, our dreams.",0,"Topik Semantik 0: they, general, let",1.0,22,24,3,148,26,False,False
9,"The United Nations was born from the ashes of the Second World War that claimed scores of millions of lives. It was created to secure peace, security, justice, and freedom for all. We remain committed to internationalism, to multilateralism, and to every effort that strengthens this great institution.",1,Peran Indonesia dalam Diplomasi Internasional,1.0,25,27,3,302,48,False,False
10,"Today, Indonesia is nearer than ever before to meeting the Sustainable Development Goals of ending extreme poverty and hunger - because years ago this very chamber chose to listen and uphold social and economic justice. We will never forget. And, today we must never be silent while Palestinians are denied that same justice and legitimacy in this very hall.",1,Peran Indonesia dalam Diplomasi Internasional,0.6113114626010997,28,30,3,358,59,False,False
11,"Excellencies, Thucydides warned: “The strong do what they can, the weak suffer what they must.” We must reject this doctrine. The United Nations exists to reject this doctrine. We must stand for all: the strong and the weak.",0,"Topik Semantik 0: they, general, let",0.38693923095641125,31,33,3,224,38,False,False
12,"Might cannot be right, right must be right. Indonesia today is one of the largest contributors to United Nations peacekeeping forces. We believe in the United Nations.",1,Peran Indonesia dalam Diplomasi Internasional,0.607642890343033,34,36,3,167,27,False,False
13,"We will continue to serve where peace needs guardians - not with just words, but with boots on the ground. If and when the United Nations Security Council and this Great Assembly decide, Indonesia is prepared to deploy 20,000 or even more of our sons and daughters to help secure peace in Gaza or elsewhere. In Ukraine, in Sudan, in Libya, everywhere when peace needs to be enforced, peace needs to be guarded.",1,Peran Indonesia dalam Diplomasi Internasional,0.5824848179916146,37,39,3,410,73,False,False
14,"We are ready. We will take our share of the burden, not only with our sons and daughters, we are also willing to contribute financially to support the great mission to achieve peace by the United Nations. Madam President, excellencies, I propose to this assembly a message of hope and optimism - grounded in action and execution.",0,"Topik Semantik 0: they, general, let",0.5873270987354424,40,42,3,329,57,False,False
15,"Today, we heard the speech of Madam President, the President of the United Nations General Assembly. Yes, it is true what she said. Without the international civil aviation organization, will we be here today?",0,"Topik Semantik 0: they, general, let",0.456583876030486,43,45,3,209,34,False,False
16,"Will we sit in this Great Hall? Without the United Nations, we cannot be safe. No country can feel secure.",0,"Topik Semantik 0: they, general, let",0.43830070013006944,46,48,3,106,20,False,False
17,"We need the United Nations and Indonesia will continue to support the United Nations. Even though we still struggle, but we know the world needs a strong United Nations. The world’s population is growing.",1,Peran Indonesia dalam Diplomasi Internasional,1.0,49,51,3,204,34,False,False
18,"Our planet is under strain. Food, energy, and water insecurity haunt many nations. We choose to answer these challenges directly at home and to help abroad whenever we can.",0,"Topik Semantik 0: they, general, let",0.3141333336206446,52,54,3,172,29,False,False
19,"This year, Indonesia recorded the highest rice production and grain reserves in our history. We are now self‑sufficient in rice and we are starting now to export rice to other nations in need, including providing rice for Palestine. We are building resilient food supply chains, strengthening farmer productivity, investing in climate‑smart agriculture to ensure food security for our children and for the children of the world.",1,Peran Indonesia dalam Diplomasi Internasional,0.5563686008512663,55,57,3,428,66,False,False
20,"We are confident in a few years time, Indonesia will be the granary of the world. As the world’s largest island state, we testify before you that we are already experiencing the direct consequences of climate change, particularly the threat of rising sea levels. The sea level on the North Coast of our capital city is increasing by five centimeters every year.",1,Peran Indonesia dalam Diplomasi Internasional,0.5779496819045552,58,60,3,361,62,False,False
