doc_id,speech_id,file_name,speech_title_from_filename,forum_scope_inferred,event_date,language_estimate,chunk_order,text,chunk_word_count,chunk_quality_flags,include_for_bertopic,exclusion_reason,manual_open_code_1,manual_open_code_2,manual_open_code_3,manual_axial_category,manual_selective_theme,coding_status,coder_notes,bertopic_topic_id,bertopic_topic_probability,bertopic_topic_name,is_outlier_topic
SPCH_001_BRICS_LEADERS_CHK_001,SPCH_001_BRICS_LEADERS,NASKAH-PIDATO-PRABOWO-BRICS-LEADERS.txt,Brics Leaders,international,2025-09-08,en,1,"Distinguished Leaders of BRICS. It is indeed a great honor for me to join this very important meeting. Indonesia considers BRICS to be a very strong pillar of stability and hope in the current international geopolitical situation. We now experience a world full of instability and also a world that the concept of multilateralism is being challenged. I fully support the opinions of the preceding speakers: the Distinguished President of Brazil, the Distinguished President of China and Egypt. BRICS now is more than 55% of world population. We are more than 40% of global GDP. BRICS has the biggest economies, biggest countries in population, biggest markets, countries with large natural resources, critical resources. Therefore, BRICS is emerging as a pillar of strengths. So, Indonesia supports the continuation. Indeed, we must continue and work closer together. We must consult each other more. I fully support the concepts given forward by the Distinguished President of the People's Republic of China. We must uphold openness. We must do exactly to continue this close coordination and cooperation in this present world of uncertainty, of double and even triple standards, where international law is being daily ignored, where might makes right, where little countries with less power are being intimidated, threatened, bullied, where trade and finance become weapon, weapon. We consider now, this is the time that BRICS must continue to evolve.",227,OK,True,,Diplomasi multilateral dan kerja sama internasional,Anti-korupsi dan penegakan hukum,,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global",REVIEWED,,9,1.0,9_brics_best_danantara_now,False
SPCH_001_BRICS_LEADERS_CHK_002,SPCH_001_BRICS_LEADERS,NASKAH-PIDATO-PRABOWO-BRICS-LEADERS.txt,Brics Leaders,international,2025-09-08,en,2,"We consider now, this is the time that BRICS must continue to evolve. We fully support the initiatives taken. We commend the leadership of President Lula. And, Indonesia is committed to working closer with all the BRICS countries. Thank you very much.",42,LOW_WORD_COUNT_LT_80,True,,Diplomasi multilateral dan kerja sama internasional,,,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global",REVIEWED,,9,1.0,9_brics_best_danantara_now,False
SPCH_002_PANEN_RAYA_CHK_001,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,1,"Bismillahirrahmanirrahim. Assalamu'alaikum warahmatullahi wabarakatuh, Selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo Buddhaya, Salam kebajikan, Rahayu, rahayu. Yang saya hormati, Menteri Pertanian sebagai penyelenggara Saudara Andi Amran Sulaiman beserta jajaran Kementerian Pertanian; Menteri Koordinator Pangan Saudara Zulkifli Hasan, para Menteri, Kepala Badan, Jaksa Agung, Kapolri, Wakil Panglima TNI, para Kepala Staf Angkatan; Kepala BRIN yang saya hormati; Kepala Perum Bulog Letnan Jenderal TNI (Purn.) Ahmad Rizal Ramdhani yang saya hormati; Wakil Menteri Pertanian Saudara Sudaryono yang merangkap Ketua Umum HKTI, Ketua Umum APPSI, masih? Ketua Umum TNI Merdeka, banyak sekali kau [menjabat] ketua umum? Ketua Komisi IV DPR RI, yang saya hormati Saudari Siti Hediati Soeharto, tepuk tangannya kok panjang banget? Para Kepala Daerah yang hadir langsung dan para Kepala Daerah yang tidak hadir tetapi lewat online. Yang hadir langsung di sini Gubernur Jawa Barat Saudara Dedi Mulyadi (KDM), Gubernur Jawa Timur Saudara Khofifah Indar Parawansa, Gubernur Sumatra Selatan Saudara Herman Deru, Gubernur Sulawesi Selatan Saudara Andi Sudirman Sulaiman, Gubernur Sumatra Utara Saudara Bobby Afif Nasution, Bupati Karawang Saudara Aep Syaepuloh, para Gubernur/Bupati/Wali Kota yang hadir melalui online yang saya hormati dan saya banggakan, yang hadir secara virtual; Yang saya hormati, para Dirut BUMN yang berkenan hadir di sini sekarang, juga para asosiasi yang hadir [diantaranya] Perhimpunan Insan Perunggasan Rakyat Indonesia (PINSAR), Gabungan Pengusaha Makanan Ternak (GPMT), Asosiasi Perbenihan Indonesia, Ketua Kolaborasi Strategis Penggilingan Indonesia, Asosiasi Penggilingan Padi, Masyarakat Perbenihan dan Pembibitan Indonesia, Asosiasi Pedagang dan Produsen Jagung Indonesia, Penyedia Katalog Elektronik Benih Padi Indonesia, Gabungan Pengusaha Kelapa Sawit Indonesia, Asosiasi Petani Tebu Republik Indonesia, Perhimpunan Agronomi Indonesia, Ketua Umum APTRI hadir?",268,OK,True,,Kedaulatan pangan dan swasembada,Pemerataan kesejahteraan dan pengentasan kemiskinan,,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,REVIEWED,,0,0.5981320496728028,0_bupati_hadir_menteri_hormati,False
SPCH_002_PANEN_RAYA_CHK_002,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,2,"Yang saya hormati, para Dirut BUMN yang berkenan hadir di sini sekarang, juga para asosiasi yang hadir [diantaranya] Perhimpunan Insan Perunggasan Rakyat Indonesia (PINSAR), Gabungan Pengusaha Makanan Ternak (GPMT), Asosiasi Perbenihan Indonesia, Ketua Kolaborasi Strategis Penggilingan Indonesia, Asosiasi Penggilingan Padi, Masyarakat Perbenihan dan Pembibitan Indonesia, Asosiasi Pedagang dan Produsen Jagung Indonesia, Penyedia Katalog Elektronik Benih Padi Indonesia, Gabungan Pengusaha Kelapa Sawit Indonesia, Asosiasi Petani Tebu Republik Indonesia, Perhimpunan Agronomi Indonesia, Ketua Umum APTRI hadir? Hadir enggak di sini APTRI? Baik. Yang saya hormati dan saya banggakan, para Kelompok Tani, para Penyuluh Pertanian dan terutama para petani dari seluruh Indonesia yang saya hormati, yang saya cintai dan yang saya banggakan; Seluruh hadirin, undangan, rekan-rekan pers dan media yang hadir langsung maupun yang hadir secara virtual. Saudara-saudara, Karena tadi mungkin banyak tokoh-tokoh sudah di sebut satu-satu mungkin saya tidak perlu mengulangi lagi tanpa mengurangi rasa hormat saya, tetapi kalau diminta mengulangi, saya siap mengulangi juga. Ini banyak sekali, tetapi tidak apa-apa. Perlu dibacakan satu-satu? Cukup? Baik. Tanpa mengurangi rasa hormat tetapi di sini banyak dirut perusahaan-perusahaan penting, dirut perusahaan-perusahaan penting: PTPN 3, PTPN 4, PTPN 1, Riset Perkebunan Nusantara, Sinergi Gula Nusantara, Agrinas Palma, Agrinas Pangan Nusantara. Agrinas Palma hadir dirutnya? Agrinas Palma? Catat ya, ini sambil diabsen ini. Dirut PT Berdikari Saudara Maryadi, Dirut Sang Hyang Seri, Dirut PT Pusri Saudara Maryono, Dirut Pupuk Kujang.",224,OK,True,,Kedaulatan pangan dan swasembada,Pemerataan kesejahteraan dan pengentasan kemiskinan,,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,REVIEWED,,0,0.4769528893067659,0_bupati_hadir_menteri_hormati,False
SPCH_002_PANEN_RAYA_CHK_004,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,4,"Walaupun selalu, kita selalu ingat saudara-saudara kita di tempat-tempat yang jauh dari sini, yang mengalami musibah beberapa puluh hari lalu di Aceh, Sumatra Barat, Sumatra Utara tetapi juga ada di Jawa Timur, di Jawa Tengah, ada di Kalimantan, ada beberapa tempat. Kita selalu ingat saudara-saudara kita, tetapi kita juga bangga melihat pengabdian darmabakti. Banyak unsur dari seluruh lapisan masyarakat, TNI, Polri, BNPB, Basarnas, PU, PLN, perusahaan-perusahaan Danantara, semua bahu-membahu termasuk banyak relawan dari mana-mana. Kita buktikan bangsa Indonesia bangsa yang kuat, bangsa yang berkemampuan, bangsa yang berdiri di atas kaki kita sendiri. Saudara-saudara sekalian, Terima kasih atas kehormatan yang diberikan kepada saya, diundang hari ini pada acara panen raya dan pengumuman resmi bahwa Indonesia berhasil kembali menjadi bangsa yang swasembada pangan. Terima kasih. Saudara-saudara, Saya selalu mengatakan dimana-mana bahwa bangsa Indonesia harus sungguh-sungguh menjadi bangsa yang waspada, bangsa yang selalu mau mengoreksi diri, bangsa yang selalu berani menghadapi segala keadaan. Saudara-saudara sekalian, Kita mengerti dan paham bahwa bangsa kita negara yang kaya. Setelah saya dipilih dan diangkat menjadi Presiden, setelah saya mengambil alih pemerintahan saya paham, lebih paham, lebih mengerti atas kekayaan-kekayaan kita. Tetapi, saya harus katakan saya prihatin, saya sedih dengan kenyataan bahwa banyak kenyataan kita yang tidak pandai kita kelola, sehingga banyak kekayaan kita yang bocor. Dari dulu saya mengerti hal ini, tetapi saya tidak mengerti seberapa banyak kebocoran itu.",222,OK,True,,Persatuan nasional dan kepercayaan diri bangsa,Kedaulatan pangan dan swasembada,"Investasi, industrialisasi, dan pertumbuhan ekonomi",Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,REVIEWED,,10,1.0,10_sudah_proyek_mengerti_juta,False
SPCH_002_PANEN_RAYA_CHK_005,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,5,"Dari dulu saya mengerti hal ini, tetapi saya tidak mengerti seberapa banyak kebocoran itu. Dari tahun ke tahun sebelum saya menjadi presiden saya berjuang, berjuang sebagai Ketua Umum HKTI, berjuang sebagai ketua umum sebuah partai, kenapa? Karena, saya melihat ada kejanggalan di bangsa kita. Saya melihat sudah berapa puluh tahun negara yang begini kaya, rakyatnya masih banyak yang miskin. Saya tidak dapat menerima di akal sehat dan di hati saya bagaimana negara yang begini makmur, bagaimana negara yang berjuang ratusan tahun untuk merdeka tetapi kekayaannya kurang dinikmati oleh sebagian besar rakyat Indonesia. Terutama yang tidak masuk di akal saya, bagaimana bisa negara yang begini besar, negara yang diberi karunia oleh yang Mahakuasa, bumi yang luas, bumi yang kaya, tanah yang subur, tetapi kita tergantung bangsa lain untuk pangan kita. Kita impor, impor, impor, impor pangan. Tidak masuk di hati saya, tidak masuk di akal saya. Saya memang bukan orang pintar, saya tidak punya gelar profesor tetapi saya bisa melihat yang benar dan yang tidak benar. Saya bisa melihat yang masuk akal dan yang tidak masuk akal. Saya bisa merasakan keadilan dan yang tidak adanya keadilan. Karena itu, saya berjuang terus, saya dituduh mau jadi diktator, saya dituduh mau berkuasa, saya dituduh mau kudeta, tetapi saya sejak muda saya bersumpah sebagai prajurit adalah prajurit dari Tentara Nasional Indonesia, TNI adalah tentara rakyat, TNI lahir rakyat, waktu kita berjuang kita diberi makan oleh rakyat Indonesia.",233,OK,True,,Pemerataan kesejahteraan dan pengentasan kemiskinan,Persatuan nasional dan kepercayaan diri bangsa,Kedaulatan pangan dan swasembada,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,REVIEWED,,11,1.0,11_akal_berjuang_masuk akal_leader,False
SPCH_002_PANEN_RAYA_CHK_006,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,6,"Karena itu, saya berjuang terus, saya dituduh mau jadi diktator, saya dituduh mau berkuasa, saya dituduh mau kudeta, tetapi saya sejak muda saya bersumpah sebagai prajurit adalah prajurit dari Tentara Nasional Indonesia, TNI adalah tentara rakyat, TNI lahir rakyat, waktu kita berjuang kita diberi makan oleh rakyat Indonesia. Waktu kita menyatakan kemerdekaan, waktu kita menyatakan kemerdekaan tanggal 17 Agustus 1945 tidak ada anggaran, belum ada Kementerian Keuangan, belum ada pajak, belum ada bea cukai, siapa yang biayai pejuang-pejuang, siapa yang mendukung perang kemerdekaan, yang mendukung perang kemerdekaan adalah rakyat Indonesia, yang memberi makan kepada tentara pejuang-pejuang adalah para petani Indonesia. Kita tidak bakal merdeka tanpa jasa para petani kita, Saudara-saudara sekalian. Saudara-saudara sekalian, Saya masuk tentara tahun '70, tahun '70, tahun '70, tetapi saya merasakan setiap saya latihan di desa-desa Jawa Tengah, Jawa Barat, rakyat keluar dari rumah, rumah-rumah yang sederhana, rumah-rumah gedek yang lantainya masih tanah, mereka keluar dari rumah, mereka memberi minuman teh, mereka memberi pisang, mereka memberi singkong kepada kami, Saudara-saudara sekalian, padahal untuk masak itu dia harus ambil kayu yang cukup jauh, dia harus ambil air yang cukup jauh, begitu cintanya rakyat kepada tentara, begitu sadarnya para petani terhadap negara bangsa Indonesia. Para petanilah yang paling setia, yang paling loyal dan yang paling merah putih di Republik Indonesia ini, Saudara-saudara sekalian. Dan, saya tidak habis pikir, puluhan tahun para petani kita, para nelayan kita kurang dihormati, kurang dibela, kurang dilindungi.",234,OK,True,,"Koperasi, desa, dan ekonomi akar rumput",Persatuan nasional dan kepercayaan diri bangsa,Pemerataan kesejahteraan dan pengentasan kemiskinan,Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,REVIEWED,,4,1.0,4_kemerdekaan_dia_perang_mau,False
SPCH_002_PANEN_RAYA_CHK_007,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,7,"Dan, saya tidak habis pikir, puluhan tahun para petani kita, para nelayan kita kurang dihormati, kurang dibela, kurang dilindungi. Waktu saya berhenti dari tentara saya merasa dihormati, saya merasa terhormat, tokoh-tokoh HKTI, tokoh-tokoh KTNA minta saya mantan Panglima Kostrad untuk menjadi Ketua Umum HKTI, Saudara-saudara sekalian. Dan, saya terima ajakan itu sebagai ajakan yang sangat mulia, saya diminta membela kepentingan petani dan nelayan Indonesia. Ini sungguh kehormatan bagi saya. Saya ingat waktu saya masih sangat muda, rakyat yang memberi makan kepada saya, saya tidak lupa, ini kesempatan pikiran saya, saya membalas budi, saya membayar hutang kembali pada para petani Indonesia. Saya jadi jenderal karena petani Indonesia, saya jadi jenderal karena rakyat Indonesia. Pangkat yang saya emban adalah dari rakyat, karena itu saya sekarang harus berbakti untuk rakyat. Dan, ini adalah kesadaran dari pembantu-pembantu saya semua. Mereka, Saudara-saudara sekalian, banyak di antara tokoh-tokoh ini sebenarnya mereka sudah mapan. Tuhan sudah memberi kebaikan dan rezeki kepada mereka. Saudara Amran pengusaha yang sukses, beliau jadi menteri adalah pengorbanan. Beliau menteri yang, enggak tahu saya sehari mungkin tidur tiga, empat jam. Saya kadang-kadang merasa prihatin, tapi saya dalam hati juga bangga. Saudara Zulkifli Hasan demikian juga masih mau berjuang, masih mau terjun di politik. Orang-orang yang masuk ke politik ini juga merasa aneh juga Saudara masih mau masuk politik. Politik di Indonesia ini pengorbanan, ingin mengabdi, ingin berbuat baik selalu di kuyu-kuyu, selalu dicari-cari kesalahan dan kejelekannya.",233,OK,True,,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kedaulatan pangan dan swasembada,"Koperasi, desa, dan ekonomi akar rumput",Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,REVIEWED,,5,0.05969987595787949,5_swasembada_amran_harga_tokoh,False
SPCH_002_PANEN_RAYA_CHK_008,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,8,"Politik di Indonesia ini pengorbanan, ingin mengabdi, ingin berbuat baik selalu di kuyu-kuyu, selalu dicari-cari kesalahan dan kejelekannya. Tetapi tidak apa-apa. Saya selalu katakan semakin naik ke puncak, semakin diterpa angin yang kencang, mereka yang kuat yang akan sampai di atas. Saudara-saudara, Para pemimpin, para pejabat, para Gubernur/Bupati, para Wali Kota, para dirut-dirut BUMN, jangan gentar, jangan ragu-ragu, para adik-adik saya, Menteri-menteri ini jangan. Kehormatan, berjuang untuk rakyat, kehormatan, kita semua akan dipanggil yang Mahakuasa, itu kepastian saudara-saudara. Dan, selalu saya katakan, kalau gajah meninggal dia tinggalkan gading, harimau meninggal dia tinggalkan belang. Manusia pada saat kita dipanggil yang kita tinggalkan hanya nama, nama, nama baik. Tetapi pada saat kita dipanggil apakah rakyat [mengatakan], ""Dia waktu mimpin dia orang baik, waktu dia memimpin dia selalu membela rakyat, waktu dia memimpin dia selalu membela keadilan, waktu dia memimpin dia selalu membela orang yang lemah, waktu dia pimpin dia selalu membela orang yang miskin, waktu dia memimpin dia selalu tegakkan keadilan.""Saya kira keluarga kita semua akan merasa bangga. Daripada nanti kalau dipanggil [rakyat], ""Dia dulu maling, dia dulu koruptor, dia dulu curi uang rakyat, dia memperkaya diri"". Jadi, Saudara-saudara, bersyukurlah kalau kau diberi kepercayaan, ini kesempatan kita berbakti, kesempatan memberi yang terbaik yang bisa kita berikan, karena Saudara-saudara kadang-kadang kebenaran dan keadilan hanya bisa datang dengan kepemimpinan yang berani dan jujur.",221,OK,True,,Pemerataan kesejahteraan dan pengentasan kemiskinan,,,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,REVIEWED,,4,0.14868551886488987,4_kemerdekaan_dia_perang_mau,False
SPCH_002_PANEN_RAYA_CHK_009,SPCH_002_PANEN_RAYA,NASKAH-PIDATO-PRABOWO-PANEN-RAYA.txt,Panen Raya,national,2026-01-07,id,9,"Jadi, Saudara-saudara, bersyukurlah kalau kau diberi kepercayaan, ini kesempatan kita berbakti, kesempatan memberi yang terbaik yang bisa kita berikan, karena Saudara-saudara kadang-kadang kebenaran dan keadilan hanya bisa datang dengan kepemimpinan yang berani dan jujur. Karena itu, Saudara-saudara, hari ini kita telah mencatat suatu kemenangan yang penting. Tidak ada bangsa yang merdeka kalau makan tidak bisa tersedia untuk rakyat, ndak ada, tidak mungkin. Tidak mungkin bangsa itu merdeka, kalau makan pangan tergantung bangsa lain. Dan, ini sudah dibuktikan, begitu ada Covid-19 negara yang punya beras tidak mau jual ke kita. Saya tahu waktu itu, saya sudah menteri, saya ngerti benar-benar. Presiden kita waktu itu sampaikan ke saya, beliau terbang ke sini, terbang ke sana, nego sama pemimpin-pemimpin negara yang punya beras. Akhirnya karena hubungan baik beliau dengan beberapa tokoh, akhirnya mereka waktu Covid-19 adalah pembuka mata, waktu Covid-19 pandemi ada warning, adalah peringatan, adalah lampu kuning bagi bangsa Indonesia, jangan mau, jangan lengah, jangan tergantung bangsa lain apalagi untuk makan. Juga, untuk BBM, untuk energi. Saudara-saudara, Yang Mahakuasa telah memberi karunia yang luar biasa, ternyata dari pertanian kita bisa tidak tergantung bangsa lain, juga soal makan tetapi juga soal energi. Dari kelapa sawit kita bisa menghasilkan solar, dari singkong kita bisa menghasilkan etanol untuk bensin, dari tebu kita juga bisa hasilkan etanol, Saudara-saudara sekalian, luar biasa. Waktu saya dilantik jadi Presiden memang saya beri target 4 tahun swasembada beras, swasembada pangan.",230,OK,True,,Kedaulatan pangan dan swasembada,Kedaulatan energi dan pengelolaan sumber daya,Persatuan nasional dan kepercayaan diri bangsa,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,REVIEWED,,2,0.2008505815606109,2_energi_menghasilkan_kesulitan_hasilkan,False
