bertopic_topic_id,keyword_rank,keyword,keyword_score,auto_topic_label
-1,1,melindungi,0.5838225539777508,Outlier / tidak terklaster
-1,2,ancaman,0.55723515110309,Outlier / tidak terklaster
-1,3,melindungi ancaman,0.525533061519559,Outlier / tidak terklaster
-1,4,pertumbuhan,0.45498059564841775,Outlier / tidak terklaster
-1,5,merdeka,0.44643303320614286,Outlier / tidak terklaster
-1,6,who save,0.443683186183581,Outlier / tidak terklaster
-1,7,berani melihat,0.40707615902933003,Outlier / tidak terklaster
-1,8,tujuan,0.40707615902933003,Outlier / tidak terklaster
-1,9,from,0.4025837366112975,Outlier / tidak terklaster
-1,10,kesejahteraan,0.3860143064542927,Outlier / tidak terklaster
0,1,bupati,0.3320308074886467,bupati / hadir / menteri / hormati / wali kota
0,2,hadir,0.325570100745798,bupati / hadir / menteri / hormati / wali kota
0,3,menteri,0.29954404276409086,bupati / hadir / menteri / hormati / wali kota
0,4,hormati,0.28488105227034644,bupati / hadir / menteri / hormati / wali kota
0,5,wali kota,0.2770976952369949,bupati / hadir / menteri / hormati / wali kota
0,6,wali,0.2770976952369949,bupati / hadir / menteri / hormati / wali kota
0,7,saudari,0.27382023451057497,bupati / hadir / menteri / hormati / wali kota
0,8,gubernur,0.2690511185599281,bupati / hadir / menteri / hormati / wali kota
0,9,kota,0.2665775934425957,bupati / hadir / menteri / hormati / wali kota
0,10,kepala,0.2602262805363824,bupati / hadir / menteri / hormati / wali kota
1,1,kampus,0.3465961647597475,kampus / stability / growth / peace stability / over
1,2,stability,0.3288099926759365,kampus / stability / growth / peace stability / over
1,3,growth,0.312702489750352,kampus / stability / growth / peace stability / over
1,4,peace stability,0.3087805796517235,kampus / stability / growth / peace stability / over
1,5,over,0.30182371077517595,kampus / stability / growth / peace stability / over
1,6,always,0.3016235266830871,kampus / stability / growth / peace stability / over
1,7,economy,0.2931823122990124,kampus / stability / growth / peace stability / over
1,8,it,0.27967433624311944,kampus / stability / growth / peace stability / over
1,9,did,0.2753433490643137,kampus / stability / growth / peace stability / over
1,10,dokter,0.2753433490643137,kampus / stability / growth / peace stability / over
2,1,energi,0.3755367688647807,energi / menghasilkan / kesulitan / hasilkan / tergantung
2,2,menghasilkan,0.33364218800121814,energi / menghasilkan / kesulitan / hasilkan / tergantung
2,3,kesulitan,0.3184480520297089,energi / menghasilkan / kesulitan / hasilkan / tergantung
2,4,hasilkan,0.3007436141282064,energi / menghasilkan / kesulitan / hasilkan / tergantung
