chunk_count,count
Kedaulatan pangan dan swasembada,12
"Kesehatan, gizi, dan perlindungan sosial",11
Diplomasi multilateral dan kerja sama internasional,9
Pemerataan kesejahteraan dan pengentasan kemiskinan,8
Pendidikan dan mobilitas sosial,8
Persatuan nasional dan kepercayaan diri bangsa,6
Anti-korupsi dan penegakan hukum,4
Kedaulatan energi dan pengelolaan sumber daya,4
"Investasi, industrialisasi, dan pertumbuhan ekonomi",3
"Palestina, Gaza, dan keadilan global",3
"Koperasi, desa, dan ekonomi akar rumput",2
"Lingkungan, iklim, dan keberlanjutan",2
Reformasi birokrasi dan efisiensi negara,2
